TITRE,REALISATEUR,RUE,CP,ADRESSE,COORDONNEES
MA MEC A MOI,J.J.ZILBERMANN,DE PANAMA,75018,RUE DE PANAMA 75018 Paris France,
LE COACH,OLIVIER DORAN,DAUMESNIL,75012,AVENUE DAUMESNIL 75012 Paris France,"48.837878, 2.400242"
LE COACH,OLIVIER DORAN,DE FRANCE,75013,AVENUE DE FRANCE 75013 Paris France,"48.830637, 2.376768"
LES DERNIERS JOURS DU MONDE,JEAN MARIE LARRIEU,DENFERT-ROCHEREAU,75014,PLACE DENFERT-ROCHEREAU 75014 Paris France,"48.834194, 2.332436"
JE VAIS TE MANQUER,AMANDA STHERS,DE CLIGNANCOURT,75018,SQUARE DE CLIGNANCOURT 75018 Paris France,"48.89306, 2.346369"
LE COACH,OLIVIER DORAN,DE CHOISY,75013,AVENUE DE CHOISY 75013 Paris France,"48.825511, 2.360435"
LE PERE DE MES ENFANTS,MIA HANSEN LOVE,DU FAUBOURG SAINT DENIS,75010,RUE DU FAUBOURG SAINT DENIS 75010 Paris France,"48.877194, 2.356223"
BANLIEUE 13  ULTIMATUM,PATRICK ALESSANDRIN,BERRYER ET RUE BALZAC (ANGLE),75008,RUE BERRYER ET RUE BALZAC (ANGLE) 75008 Paris France,
LE PERE DE MES ENFANTS,MIA HANSEN LOVE,GABRIEL LAUMAIN,75010,RUE GABRIEL LAUMAIN 75010 Paris France,"48.873401, 2.348832"
LES DERNIERS JOURS DU MONDE,JEAN MARIE LARRIEU,LEGRATIER,75004,RUE LEGRATIER 75004 Paris France,
LE DERNIER POUR LA ROUTE,PHILIPPE GODEAU,DE LA REPUBLIQUE DOMINICAINE,75017,PLACE DE LA REPUBLIQUE DOMINICAINE 75017 Paris France,
LE DERNIER POUR LA ROUTE,PHILIPPE GODEAU,GASTON BERGER,75017,RUE GASTON BERGER 75017 Paris France,
LES DERNIERS JOURS DU MONDE,JEAN MARIE LARRIEU,D'ORLEANS,75004,QUAI D'ORLEANS 75004 Paris France,"48.851629, 2.354153"
LE DERNIER POUR LA ROUTE,PHILIPPE GODEAU,DE PHALSBOURG,75017,RUE DE PHALSBOURG 75017 Paris France,
